Corresponding Year,Gender,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,GPA
2,2,0.725,0.644444444,0.555555556,0.95,0.84,3.84
2,2,0.4,0.866666667,0.688888889,0.625,0.52,2.9
2,2,0.7,0.755555556,0.711111111,0.6,0.76,2.57
2,2,0.575,0.555555556,0.644444444,0.55,0.54,2.58
2,2,0.575,0.911111111,0.8,0.625,0.78,3.65
2,2,0.5,0.644444444,0.466666667,0.775,0.84,3.12
2,2,0.4,0.666666667,0.511111111,0.9,0.94,3.43
2,2,0.75,0.866666667,0.755555556,0.65,0.86,3.87
2,2,0.725,0.688888889,0.822222222,0.571428571,0.86,3.76
2,2,0.45,0.711111111,0.688888889,0.475,0.56,2.44
2,2,0.65,0.866666667,0.777777778,0.825,0.78,3.53
2,2,0.8,0.8,0.777777778,0.575,0.76,2.91
2,2,0.675,0.777777778,0.666666667,0.675,0.66,2.64
2,2,0.514285714,0.844444444,0.777777778,0.775,0.8,2.44
2,2,0.65,0.711111111,0.733333333,0.875,0.84,2.77
2,2,0.625,0.844444444,0.577777778,0.725,0.62,2.52
2,2,0.65,0.8,0.644444444,0.65,0.76,3.21
2,2,0.475,0.777777778,0.466666667,0.9,0.5,2.03
2,2,0.575,0.866666667,0.777777778,0.7,0.76,3.17
2,2,0.525,0.866666667,0.866666667,0.725,0.92,3.03
2,2,0.6,0.933333333,0.644444444,0.825,0.62,2.86
2,2,0.625,0.688888889,0.6,0.8,0.74,2.64
2,2,0.575,0.733333333,0.444444444,0.625,0.72,2.4
2,2,0.575,0.822222222,0.666666667,0.725,0.66,2.7
2,2,0.6,0.777777778,0.666666667,0.375,0.64,3.24
2,2,0.55,0.822222222,0.6,0.875,0.76,2.64
2,2,0.575,0.888888889,0.755555556,0.6,0.74,3.61
2,2,0.425,0.733333333,0.644444444,0.7,0.68,2.82
2,2,0.55,0.866666667,0.622222222,0.725,0.54,2.81
2,2,0.525,0.888888889,0.755555556,0.725,1,2.71
2,2,0.85,0.8,0.711111111,0.325,0.76,2.06
2,2,0.75,0.888888889,0.822222222,0.65,0.82,2.23
2,2,0.7,0.755555556,0.688888889,0.55,0.6,2.84
2,2,0.625,0.622222222,0.511111111,0.85,0.8,3.18
2,2,0.675,0.666666667,0.488888889,0.4,0.68,2.02
2,2,0.6,0.666666667,0.755555556,0.4,0.64,3.26
2,2,0.525,0.777777778,0.777777778,0.8,0.9,2.53
2,2,0.825,0.866666667,0.622222222,0.55,0.8,3.41
2,2,0.7,0.711111111,0.622222222,0.75,0.62,2.23
2,2,0.75,0.888888889,0.955555556,0.425,0.8,2.26
2,2,0.575,0.8,0.888888889,0.475,0.66,2.26
2,2,0.425,0.8,0.555555556,0.6,0.74,3.84
2,2,0.625,0.911111111,0.511111111,0.625,0.7,2.09
2,2,0.575,0.8,0.733333333,0.7,0.7,2.45
2,2,0.425,0.844444444,0.688888889,0.875,0.6,3.34
2,2,0.675,0.666666667,0.511111111,1,0.76,2.79
2,2,0.5,0.8,0.6,0.8,0.86,3.18
2,2,0.6,0.8,0.688888889,0.625,0.64,2.86
2,2,0.6,0.911111111,0.844444444,0.725,0.76,3.29
2,1,0.675,0.933333333,0.777777778,0.375,0.72,2.36
2,1,0.45,0.888888889,0.511111111,0.55,0.82,2.29
2,1,0.45,0.555555556,0.888888889,0.825,0.92,3.7
2,1,0.75,0.666666667,0.711111111,0.6,0.84,3.6
2,1,0.575,0.777777778,0.8,0.425,0.64,2.44
2,1,0.45,0.733333333,0.622222222,0.775,0.82,3.37
2,1,0.75,0.888888889,0.844444444,0.525,0.74,2.71
2,1,0.475,0.733333333,0.822222222,0.6,0.8,3.52
2,1,0.65,0.8,0.711111111,0.425,0.66,2.78
2,1,0.625,0.8,0.711111111,0.325,0.84,3.45
2,1,0.475,0.511111111,0.844444444,0.65,0.8,3.04
2,1,0.575,0.6,0.555555556,0.8,0.88,2.32
2,1,0.625,0.666666667,0.733333333,0.725,0.72,3.08
2,1,0.675,0.688888889,0.688888889,0.55,0.62,2.76
2,1,0.7,0.688888889,0.644444444,0.6,0.88,3.02
2,1,0.725,0.955555556,0.8,0.625,0.66,2.74
2,1,0.575,0.733333333,0.711111111,0.5,0.66,3.27
2,1,0.7,0.755555556,0.755555556,0.525,0.7,2.95
2,1,0.625,0.711111111,0.733333333,0.6,0.64,2.41
2,1,0.675,0.911111111,0.866666667,0.375,0.56,2.35
2,1,0.6,0.666666667,0.711111111,0.45,0.7,3.13
2,1,0.6,0.733333333,0.888888889,0.55,0.76,3.86
2,1,0.575,0.711111111,0.755555556,0.575,0.62,3.43
2,1,0.75,0.866666667,0.8,0.325,0.88,2.63
2,1,0.65,0.688888889,0.644444444,0.55,0.78,3.4
2,1,0.65,0.733333333,0.688888889,0.425,0.76,3.32
2,1,0.625,0.8,0.533333333,0.65,0.72,2.86
2,1,0.625,0.777777778,0.911111111,0.475,0.76,2.2
2,1,0.75,0.755555556,0.777777778,0.375,0.68,3.13
2,1,0.775,0.666666667,0.755555556,0.475,0.7,3.13
2,1,0.675,0.911111111,0.733333333,0.45,0.64,3.49
2,1,0.7,0.688888889,0.488888889,0.45,0.64,2.6
2,1,0.7,0.911111111,0.8,0.475,0.64,3.32
2,1,0.725,0.822222222,0.711111111,0.8,0.8,2.63
2,1,0.675,0.644444444,0.844444444,0.6,0.7,2.32
2,1,0.625,0.755555556,0.644444444,0.675,0.7,2.82
2,1,0.725,0.8,0.666666667,0.625,0.74,0.8
2,1,0.75,0.688888889,0.777777778,0.5,0.84,2.63
2,1,0.625,0.777777778,0.666666667,0.55,0.7,2.53
2,1,0.5,0.822222222,0.555555556,0.625,0.7,2.02
2,1,0.7,0.8,0.911111111,0.35,0.9,2.72
2,1,0.675,0.8,0.866666667,0.675,0.78,2.79
2,1,0.725,0.85,0.777777778,0.375,0.56,3.05
2,1,0.65,0.822222222,0.733333333,0.525,0.76,3.23
2,1,0.675,0.4,0.933333333,0.85,0.66,3.74
2,1,0.5,0.711111111,0.577777778,0.575,0.6,2.07
2,1,0.725,0.866666667,0.822222222,0.475,0.8,3.62
2,1,0.4,0.844444444,0.244444444,1,0.58,2.44
3,2,0.675,0.688888889,0.844444444,0.875,0.72,3.41
3,2,0.65,0.822222222,0.8,0.95,0.82,3.06
3,2,0.6,0.711111111,0.644444444,0.725,0.7,2.67
3,2,0.55,0.6,0.644444444,0.5,0.56,2.4
3,2,0.525,0.8,0.711111111,0.675,0.72,3.52
3,2,0.5,0.755555556,0.933333333,0.625,0.62,3.72
3,2,0.725,0.622222222,0.533333333,0.575,0.66,2.93
3,2,0.575,0.888888889,0.711111111,0.575,0.78,2.8
3,2,0.475,0.866666667,0.866666667,0.5,0.78,2.68
3,2,0.675,0.755555556,0.644444444,0.575,0.66,3.26
3,2,0.725,0.888888889,0.644444444,0.7,0.78,2.92
3,2,0.55,0.733333333,0.511111111,0.7,0.9,3.14
3,2,0.55,0.844444444,0.622222222,0.8,0.7,2.73
3,2,0.775,0.644444444,0.733333333,0.6,0.82,3.06
3,2,0.75,0.755555556,0.777777778,0.45,0.8,2.37
3,2,0.575,0.733333333,0.711111111,0.65,0.78,2.72
3,2,0.625,0.866666667,0.8,0.675,0.8,3.37
3,2,0.6,0.733333333,0.711111111,0.775,0.64,3.38
3,2,0.625,0.755555556,0.733333333,0.625,0.74,3.18
3,2,0.325,0.577777778,0.622222222,0.85,0.6,2.35
3,2,0.6,0.644444444,0.6,0.6,0.6,2.7
3,2,0.75,0.822222222,0.866666667,0.625,0.64,2.37
3,2,0.75,0.777777778,0.733333333,0.4,0.7,3.31
3,2,0.675,0.866666667,0.866666667,0.4,0.74,2.99
3,2,0.5,0.8,0.777777778,0.35,0.9,3.26
3,2,0.325,0.777777778,0.4,0.575,0.48,3.02
3,1,0.775,0.777777778,0.711111111,0.6,0.74,3.27
3,1,0.925,0.755555556,0.933333333,0.575,0.84,2.77
3,1,0.7,0.622222222,0.755555556,0.475,0.64,2.53
3,1,0.525,0.644444444,0.644444444,0.825,0.66,3.51
3,1,0.675,0.844444444,0.8,0.575,0.7,3.87
3,1,0.525,0.644444444,0.888888889,0.55,0.66,3.54
3,1,0.4,0.688888889,0.511111111,0.75,0.78,2.9
3,1,0.875,0.822222222,0.688888889,0.375,0.62,2.85
3,1,0.5,0.711111111,0.488888889,0.475,0.72,2.77
3,1,0.575,0.711111111,0.666666667,0.575,0.6,2.91
3,1,0.625,0.755555556,0.688888889,0.575,0.7,3.56
3,1,0.7,0.577777778,0.622222222,0.375,0.66,3.8
3,1,0.571428571,0.711111111,0.8,0.5,0.74,3.48
3,1,0.65,0.755555556,0.688888889,0.45,0.76,2.62
3,1,0.675,0.8,0.866666667,0.425,0.64,3.66
3,1,0.7,0.777777778,0.733333333,0.625,0.72,3.35
3,1,0.65,0.8,0.777777778,0.65,0.78,3.6
3,1,0.475,0.755555556,0.6,0.7,0.58,3.04
3,1,0.475,0.755555556,0.533333333,0.8,0.56,2.48
3,1,0.425,0.555555556,0.466666667,0.95,0.54,2.53
3,1,0.525,0.844444444,0.755555556,0.475,0.72,3.82
3,1,0.575,0.733333333,0.8,0.4,0.78,3.19
3,1,0.575,0.755555556,0.755555556,0.45,0.64,2.65
3,1,0.775,0.733333333,0.466666667,0.475,0.66,2.39
3,1,0.675,0.844444444,0.777777778,0.7,0.68,3.02
3,1,0.625,0.844444444,0.644444444,0.525,0.58,3.28
3,1,0.75,0.755555556,0.6,0.475,0.66,3.44
3,1,0.675,0.622222222,0.711111111,0.65,0.72,2.64
3,1,0.6,0.488888889,0.622222222,0.75,0.62,3.6
4,2,0.7,0.888888889,0.866666667,0.6,0.74,2.19
4,2,0.7,0.688888889,0.711111111,0.65,0.74,3.73
4,2,0.625,0.844444444,0.622222222,0.525,0.66,2.58
4,2,0.725,0.866666667,0.644444444,0.9,0.82,3.46
4,2,0.525,0.888888889,0.688888889,0.675,0.72,2.83
4,2,0.725,0.933333333,0.4,0.45,0.64,2.35
4,2,0.7,0.555555556,0.644444444,0.7,0.78,2.86
4,2,0.325,0.644444444,0.866666667,0.95,0.74,3.76
4,2,0.575,0.755555556,0.6,0.625,0.6,2.93
4,2,0.875,0.911111111,0.866666667,0.4,0.94,2.23
4,2,0.75,0.844444444,0.977777778,0.375,0.76,3.83
4,2,0.75,0.711111111,0.822222222,0.65,0.38,3.95
4,2,0.725,0.666666667,0.688888889,0.875,0.76,3.23
4,2,0.525,0.777777778,0.6,0.575,0.68,2.57
4,2,0.7,0.711111111,0.622222222,0.725,0.8,3.46
4,2,0.775,0.666666667,0.955555556,0.875,0.96,2.93
4,2,0.675,0.777777778,0.711111111,0.4,0.66,3.5
4,2,0.75,0.777777778,0.866666667,0.45,0.72,3.12
4,2,0.775,0.866666667,0.733333333,0.475,0.7,3.35
4,2,0.675,0.577777778,0.666666667,0.65,0.7,2.66
4,2,0.6,0.733333333,0.733333333,0.65,0.74,2.99
4,2,0.6,0.9,0.4,1,0.4,2.05
4,2,0.4,1,0.7,0.4,0.8,2.64
4,2,0.675,0.777777778,0.711111111,0.4,0.7,3.43
4,2,0.65,0.8,0.711111111,0.7,0.68,3.26
4,1,0.725,0.666666667,0.866666667,0.725,0.78,3.82
4,1,0.55,0.8,0.755555556,0.275,0.86,2.9
4,1,0.75,0.777777778,0.644444444,0.4,0.54,3.09
4,1,0.95,0.822222222,0.533333333,0.475,0.82,2.07
4,1,0.725,0.822222222,0.725,0.425,0.64,2.96
4,1,0.575,0.666666667,0.622222222,0.575,0.64,2.5
4,1,0.725,0.822222222,0.866666667,0.45,0.8,2.73
4,1,0.575,0.733333333,0.711111111,0.7,0.64,2.85
4,1,0.675,0.688888889,0.555555556,0.475,0.8,2.31
4,1,0.625,0.8,0.6,0.55,0.58,2.47
4,1,0.5,0.8,0.844444444,0.625,0.64,3.17
4,1,0.625,0.644444444,0.555555556,0.85,0.88,2.07
4,1,0.7,0.822222222,0.688888889,0.525,0.68,2.51
4,1,0.65,0.733333333,0.377777778,0.225,0.46,2.84
4,1,0.475,0.711111111,0.533333333,0.75,0.76,3.27
4,1,0.525,0.8,0.644444444,0.7,0.64,3.7
4,1,0.75,0.933333333,0.511111111,0.7,0.72,2.27
4,1,0.625,0.711111111,0.777777778,0.725,0.7,3.67
4,1,0.325,0.777777778,0.488888889,0.825,0.52,2.41
4,1,0.775,0.866666667,0.844444444,0.375,0.76,3.51
4,1,0.725,0.688888889,0.622222222,0.5,0.62,2.61
4,1,0.675,0.777777778,0.822222222,0.375,0.72,3.75
4,1,0.625,0.8,0.622222222,0.6,0.8,2.07
4,1,0.525,0.622222222,0.8,0.45,0.66,3.86
4,1,0.7,0.755555556,0.555555556,0.425,0.74,2.71
4,1,0.575,0.533333333,0.466666667,0.625,0.6,3.36
5,2,0.8,0.666666667,0.844444444,0.825,0.8,3.35
5,2,0.525,0.622222222,0.622222222,0.725,0.66,2.98
5,2,0.675,0.866666667,0.755555556,0.625,0.8,3.81
5,2,0.6,0.888888889,0.577777778,1,0.86,2.7
5,2,0.575,0.777777778,0.755555556,0.65,0.66,3.28
5,2,0.55,0.8,0.577777778,0.675,0.78,2.97
5,2,0.625,0.666666667,0.711111111,0.875,0.74,3.3
5,2,0.7,0.65,0.555555556,0.625,0.6,2.82
5,2,0.575,0.755555556,0.733333333,0.625,0.76,2.95
5,2,0.725,0.711111111,0.622222222,0.55,0.58,2.65
5,2,0.8,0.488888889,0.7,0.8,0.86,2.77
5,2,0.5,0.555555556,0.555555556,0.5,0.36,2.99
5,2,0.6,0.888888889,0.844444444,0.55,0.72,2.54
5,2,0.6,0.8,0.844444444,0.65,0.64,3.08
5,2,0.675,0.844444444,0.688888889,0.7,0.7,2.89
5,2,0.575,0.955555556,0.866666667,0.425,0.64,3.39
5,2,0.7,0.844444444,0.911111111,0.65,0.98,2.78
5,2,0.8,0.911111111,0.6,0.725,0.5,3.28
5,2,0.775,0.711111111,0.733333333,0.485714286,0.7,2.62
5,2,0.525,0.688888889,0.555555556,0.3,0.48,2.6
5,2,0.625,0.555555556,0.577777778,0.75,0.66,3.59
5,2,0.65,0.777777778,0.622222222,0.45,0.82,3.4
5,2,0.7,0.688888889,0.6,0.55,0.92,2.67
5,2,0.65,0.488888889,0.666666667,0.625,0.48,2.78
5,1,0.55,0.666666667,0.733333333,0.8,0.74,2.75
5,1,0.625,0.8,0.822222222,0.475,0.74,3.21
5,1,0.55,0.666666667,0.555555556,0.575,0.76,2.51
5,1,0.475,0.8,0.8,0.45,0.78,2.62
5,1,0.55,0.822222222,0.711111111,0.65,0.74,3.76
5,1,0.525,0.6,0.488888889,0.7,0.5,3.83
5,1,0.925,0.8,0.622222222,0.625,0.78,2.47
5,1,0.6,0.644444444,0.511111111,0.6,0.62,3.15
5,1,0.35,0.777777778,0.688888889,0.85,0.72,3.25
5,1,0.625,0.755555556,0.755555556,0.5,0.64,2.2
5,1,0.6,0.622222222,0.6,0.6,0.6,2.52
5,1,0.6,0.6,0.6,0.6,0.6,2.83
5,1,0.575,0.777777778,0.555555556,0.475,0.78,3.5
5,1,0.725,0.577777778,0.977777778,0.325,0.9,3.01
5,1,0.625,1,0.666666667,0.525,0.68,3.5
5,1,0.5,0.733333333,0.555555556,0.65,0.96,2.36
5,1,0.575,0.755555556,0.711111111,0.675,0.58,2.41
5,1,0.775,0.8,0.711111111,0.775,0.82,3.2
5,1,0.575,0.777777778,0.688888889,0.775,0.9,2.39
5,1,0.8,0.711111111,0.8,0.775,0.72,2.78
5,1,0.6,0.866666667,0.622222222,0.675,0.8,2.78
5,1,0.5,0.644444444,0.733333333,0.5,0.88,2.25
5,1,0.55,0.8,0.777777778,0.275,0.64,2.45
5,1,0.575,0.733333333,0.688888889,0.575,0.56,3.08
5,1,0.725,0.933333333,0.866666667,0.475,0.88,2.38
5,1,0.425,0.755555556,0.755555556,0.65,0.72,2.84
5,1,0.625,0.6,0.688888889,0.6,0.48,2.74
5,1,0.55,0.755555556,0.755555556,0.525,0.72,2.58
6,2,0.45,0.888888889,0.488888889,0.925,0.72,2.97
6,2,0.65,0.622222222,0.622222222,0.55,0.58,3.19
6,2,0.575,0.822222222,0.844444444,0.5,0.82,3.67
6,2,0.75,0.8,0.644444444,0.5,0.66,2.73
6,2,0.7,0.711111111,0.6,0.625,0.72,3.44
6,2,0.775,0.488888889,0.955555556,0.675,0.78,3.17
6,2,0.725,0.8,0.666666667,0.675,0.76,3.63
6,2,0.475,0.688888889,0.666666667,0.775,0.44,3.44
6,2,0.35,0.755555556,0.711111111,0.625,0.68,3.14
6,2,0.6,0.866666667,0.777777778,0.775,0.72,3.53
6,2,0.6,0.888888889,0.888888889,0.65,0.82,3.02
6,2,0.8,0.911111111,0.666666667,0.725,0.7,3.25
6,2,0.55,0.844444444,0.6,0.95,0.56,3.25
6,2,0.725,0.777777778,0.8,0.6,0.78,3.58
6,2,0.6,0.688888889,0.8,0.9,0.68,3.64
6,2,0.85,0.666666667,0.711111111,0.65,0.44,3.92
6,2,0.55,0.755555556,0.644444444,0.475,0.64,3
6,2,0.3,0.622222222,0.444444444,0.775,0.44,3.25
6,2,0.775,0.777777778,0.711111111,0.75,0.62,2.98
6,2,0.7,0.644444444,0.666666667,0.725,0.78,2.69
6,2,0.725,0.933333333,0.977777778,0.575,0.88,2.52
6,2,0.525,0.8,0.822222222,0.675,0.64,2.92
6,2,0.5,0.666666667,0.733333333,0.675,0.64,2.94
6,2,0.8,0.777777778,0.777777778,0.45,0.68,2.91
6,2,0.575,0.777777778,0.733333333,0.45,0.74,3.13
6,1,0.875,0.955555556,0.688888889,0.425,0.88,3.13
6,1,0.875,0.888888889,0.911111111,0.475,0.9,2.38
6,1,0.7,0.866666667,0.822222222,0.575,0.98,3.06
6,1,0.8,1,0.777777778,0.35,0.74,2.69
6,1,0.475,0.844444444,0.666666667,0.6,0.56,2.91
6,1,0.625,0.688888889,0.377777778,0.7,0.6,2.14
6,1,0.725,0.911111111,0.977777778,0.25,0.84,2.05
6,1,0.725,0.866666667,0.755555556,0.5,0.66,3.08
6,1,0.575,0.666666667,0.711111111,0.6,0.66,3
6,1,0.5,0.555555556,0.555555556,0.5,0.36,2.16
6,1,0.825,0.8,0.8,0.85,0.76,2.88
6,1,0.625,0.822222222,0.755555556,0.6,0.44,2.47
6,1,0.65,0.933333333,0.977777778,0.325,0.68,3.53
6,1,0.625,0.822222222,0.777777778,0.75,0.82,3.56
6,1,0.575,0.622222222,0.644444444,0.775,0.7,2.73
6,1,0.675,0.911111111,0.888888889,0.425,0.74,3.34
6,1,0.5,0.377777778,0.555555556,0.525,0.58,2.08
6,1,0.425,0.577777778,0.555555556,0.85,0.68,3.17
6,1,0.35,0.777777778,0.666666667,0.775,0.64,2.89
6,1,0.7,0.6,0.733333333,0.4,0.68,2.39
6,1,0.475,0.555555556,0.6,0.575,0.56,2.7
6,1,0.55,0.8,0.688888889,0.8,0.74,2.72
6,1,0.55,0.555555556,0.688888889,0.7,0.66,3.39
6,1,0.625,0.644444444,0.6,0.675,0.7,2.25
6,1,0.625,0.577777778,0.6,0.65,0.54,2.11
6,1,0.525,0.555555556,0.666666667,0.625,0.62,2.89
6,1,0.7,0.733333333,0.555555556,0.575,0.68,2.89
