Sex,Class ,Age,Survived
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
M,3,C,0
F,3,C,0
F,3,C,0
F,3,C,0
F,3,C,0
F,3,C,0
F,3,C,0
F,3,C,0
F,3,C,0
F,3,C,0
F,3,C,0
F,3,C,0
F,3,C,0
F,3,C,0
F,3,C,0
F,3,C,0
F,3,C,0
F,3,C,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
M,1,A ,0
F,1,A ,0
F,1,A ,0
F,1,A ,0
F,1,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
M,2,A ,0
F,2,A ,0
F,2,A ,0
F,2,A ,0
F,2,A ,0
F,2,A ,0
F,2,A ,0
F,2,A ,0
F,2,A ,0
F,2,A ,0
F,2,A ,0
F,2,A ,0
F,2,A ,0
F,2,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
M,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
F,3,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
M,C,A ,0
